participant_id,image_name,task,emotion,sac1,sac2,sac3,sac4,sac5
SHI,01F_HA_X.BMP,Valence,HA,Outside,Outside,Outside,NA,NA
SYE,01F_HA_X.BMP,Valence,HA,Eyes,Eyes,Outside,Outside,NA
VIL,01F_HA_X.BMP,Valence,HA,Nose,Eyes,NA,NA,NA
ANT,30M_AN_C.BMP,Valence,AN,Nose,Nose,Nose,Eyes,Eyes
CHN,30M_AN_C.BMP,Valence,AN,Outside,Outside,Nose,Outside,Outside
HAH,30M_AN_C.BMP,Valence,AN,Nose,Nose,Nose,NA,NA
HAM,30M_AN_C.BMP,Valence,AN,Outside,Eyes,Nose,Eyes,Eyes
HMN,30M_AN_C.BMP,Valence,AN,Eyes,NA,NA,NA,NA
JAY,30M_AN_C.BMP,Valence,AN,Eyes,Nose,Nose,Nose,Outside
KRT,30M_AN_C.BMP,Valence,AN,Eyes,Outside,Outside,Nose,Nose
KUL,30M_AN_C.BMP,Valence,AN,Nose,Eyes,Eyes,NA,NA
LOV,30M_AN_C.BMP,Valence,AN,Nose,Outside,Outside,Outside,Nose
MAL,30M_AN_C.BMP,Valence,AN,Eyes,Outside,Outside,Outside,Outside
PRA,30M_AN_C.BMP,Valence,AN,Mouth,Outside,NA,NA,NA
SHI,30M_AN_C.BMP,Valence,AN,Nose,Eyes,Eyes,NA,NA
SKR,30M_AN_C.BMP,Valence,AN,Eyes,NA,NA,NA,NA
SYE,30M_AN_C.BMP,Valence,AN,Nose,Eyes,Eyes,Eyes,Nose
VIL,30M_AN_C.BMP,Valence,AN,Nose,Nose,NA,NA,NA
AYA,30M_NE_C.BMP,Valence,NE,Outside,NA,NA,NA,NA
DHA,30M_NE_C.BMP,Valence,NE,Eyes,Nose,Nose,NA,NA
HAH,30M_NE_C.BMP,Valence,NE,Eyes,NA,NA,NA,NA
HMN,30M_NE_C.BMP,Valence,NE,Eyes,Eyes,Nose,NA,NA
JAY,30M_NE_C.BMP,Valence,NE,Eyes,NA,NA,NA,NA
KRT,30M_NE_C.BMP,Valence,NE,Outside,Outside,Eyes,Eyes,Eyes
KUL,30M_NE_C.BMP,Valence,NE,Nose,Nose,NA,NA,NA
LOV,30M_NE_C.BMP,Valence,NE,Nose,Nose,NA,NA,NA
MAL,30M_NE_C.BMP,Valence,NE,Nose,Nose,NA,NA,NA
NAN,30M_NE_C.BMP,Valence,NE,Eyes,Nose,Nose,Nose,Nose
NIS,30M_NE_C.BMP,Valence,NE,Eyes,NA,NA,NA,NA
PRA,30M_NE_C.BMP,Valence,NE,Eyes,Eyes,NA,NA,NA
SHI,30M_NE_C.BMP,Valence,NE,Nose,Outside,Eyes,Eyes,NA
SYE,30M_NE_C.BMP,Valence,NE,Outside,Eyes,Outside,Outside,Eyes
ADA,28M_AN_C.BMP,Valence,AN,Eyes,Eyes,Eyes,NA,NA
ANT,28M_AN_C.BMP,Valence,AN,Nose,Nose,NA,NA,NA
AUN,28M_AN_C.BMP,Valence,AN,Eyes,NA,NA,NA,NA
AYA,28M_AN_C.BMP,Valence,AN,Eyes,Eyes,Outside,Eyes,Outside
CHN,28M_AN_C.BMP,Valence,AN,Nose,Outside,Nose,Nose,Nose
DES,28M_AN_C.BMP,Valence,AN,Outside,Eyes,Eyes,Eyes,Eyes
DEV,28M_AN_C.BMP,Valence,AN,Nose,NA,NA,NA,NA
DHV,28M_AN_C.BMP,Valence,AN,Eyes,Nose,Eyes,Eyes,Nose
HAH,28M_AN_C.BMP,Valence,AN,Nose,Nose,NA,NA,NA
HAM,28M_AN_C.BMP,Valence,AN,Nose,NA,NA,NA,NA
KRT,28M_AN_C.BMP,Valence,AN,Outside,NA,NA,NA,NA
PRT,28M_AN_C.BMP,Valence,AN,Outside,Outside,Outside,NA,NA
SKR,28M_AN_C.BMP,Valence,AN,Eyes,Nose,NA,NA,NA
SYE,28M_AN_C.BMP,Valence,AN,Mouth,Mouth,Nose,Outside,Eyes
ADA,23M_NE_C.BMP,Valence,NE,Nose,Outside,NA,NA,NA
CHN,23M_NE_C.BMP,Valence,NE,Eyes,Nose,Eyes,Nose,Eyes
DES,23M_NE_C.BMP,Valence,NE,Mouth,Outside,Mouth,Outside,Mouth
DEV,23M_NE_C.BMP,Valence,NE,Outside,Nose,Nose,Nose,Nose
DHV,23M_NE_C.BMP,Valence,NE,Nose,Mouth,Nose,Outside,Outside
HAH,23M_NE_C.BMP,Valence,NE,Nose,NA,NA,NA,NA
HAU,23M_NE_C.BMP,Valence,NE,Eyes,Eyes,Eyes,Eyes,Nose
KRT,23M_NE_C.BMP,Valence,NE,Mouth,Nose,Eyes,NA,NA
LOV,23M_NE_C.BMP,Valence,NE,Nose,Nose,Outside,Nose,NA
PRA,23M_NE_C.BMP,Valence,NE,Outside,Nose,Nose,Nose,Nose
PRT,23M_NE_C.BMP,Valence,NE,Outside,Outside,Outside,Outside,Outside
SKR,23M_NE_C.BMP,Valence,NE,Nose,NA,NA,NA,NA
SYE,23M_NE_C.BMP,Valence,NE,Mouth,Nose,Nose,Nose,Nose
CHN,33M_HA_X.BMP,Valence,HA,Outside,Outside,Outside,Eyes,Outside
DEP,33M_HA_X.BMP,Valence,HA,Eyes,Eyes,NA,NA,NA
DHA,33M_HA_X.BMP,Valence,HA,Eyes,NA,NA,NA,NA
HAH,33M_HA_X.BMP,Valence,HA,Eyes,NA,NA,NA,NA
HMN,33M_HA_X.BMP,Valence,HA,Eyes,Nose,Outside,NA,NA
KUL,33M_HA_X.BMP,Valence,HA,Nose,Eyes,Eyes,Nose,Eyes
LOV,33M_HA_X.BMP,Valence,HA,Eyes,Nose,Nose,Nose,Nose
NAN,33M_HA_X.BMP,Valence,HA,Outside,Outside,NA,NA,NA
NIS,33M_HA_X.BMP,Valence,HA,Eyes,Outside,Eyes,NA,NA
PRA,33M_HA_X.BMP,Valence,HA,Nose,Nose,Nose,NA,NA
SYE,33M_HA_X.BMP,Valence,HA,Outside,Eyes,Eyes,Eyes,Eyes
VIL,33M_HA_X.BMP,Valence,HA,Nose,Nose,NA,NA,NA
DEP,28M_NE_C.BMP,Valence,NE,Eyes,Eyes,NA,NA,NA
HAH,28M_NE_C.BMP,Valence,NE,Nose,Nose,Eyes,NA,NA
HMN,28M_NE_C.BMP,Valence,NE,Eyes,Nose,Eyes,Nose,Nose
JAY,28M_NE_C.BMP,Valence,NE,Nose,Nose,NA,NA,NA
KRT,28M_NE_C.BMP,Valence,NE,Outside,Eyes,Eyes,Nose,Eyes
KUL,28M_NE_C.BMP,Valence,NE,Nose,Nose,Outside,Nose,Nose
LOV,28M_NE_C.BMP,Valence,NE,Nose,Nose,Eyes,NA,NA
NAN,28M_NE_C.BMP,Valence,NE,Outside,Nose,NA,NA,NA
PRA,28M_NE_C.BMP,Valence,NE,Eyes,NA,NA,NA,NA
SHI,28M_NE_C.BMP,Valence,NE,Nose,Mouth,Outside,Nose,NA
SKR,28M_NE_C.BMP,Valence,NE,Nose,Nose,Nose,NA,NA
VIL,28M_NE_C.BMP,Valence,NE,Nose,NA,NA,NA,NA
CHN,22M_HA_X.BMP,Valence,HA,Eyes,Nose,NA,NA,NA
HAH,22M_HA_X.BMP,Valence,HA,Outside,Outside,Outside,Outside,Outside
JAY,22M_HA_X.BMP,Valence,HA,Eyes,NA,NA,NA,NA
KRT,22M_HA_X.BMP,Valence,HA,Outside,Outside,Eyes,Eyes,Nose
KUL,22M_HA_X.BMP,Valence,HA,Nose,Nose,Nose,Nose,Nose
LOV,22M_HA_X.BMP,Valence,HA,Eyes,Nose,Nose,Nose,Nose
MAL,22M_HA_X.BMP,Valence,HA,Nose,NA,NA,NA,NA
NIS,22M_HA_X.BMP,Valence,HA,Outside,Outside,Outside,Eyes,NA
PRA,22M_HA_X.BMP,Valence,HA,Outside,Outside,NA,NA,NA
SHI,22M_HA_X.BMP,Valence,HA,Eyes,Nose,Outside,Outside,Outside
SKR,22M_HA_X.BMP,Valence,HA,Nose,NA,NA,NA,NA
SYE,22M_HA_X.BMP,Valence,HA,Eyes,Outside,Outside,Outside,Outside
VIL,22M_HA_X.BMP,Valence,HA,Nose,NA,NA,NA,NA
ADA,24M_NE_O.BMP,Valence,NE,Eyes,Eyes,Nose,Eyes,Nose
ANT,24M_NE_O.BMP,Valence,NE,Eyes,Eyes,NA,NA,NA
AUN,24M_NE_O.BMP,Valence,NE,Eyes,NA,NA,NA,NA
CHN,24M_NE_O.BMP,Valence,NE,Outside,Eyes,Eyes,Outside,Outside
DES,24M_NE_O.BMP,Valence,NE,Eyes,Nose,Nose,Nose,Nose
DEV,24M_NE_O.BMP,Valence,NE,Eyes,Outside,NA,NA,NA
HAM,24M_NE_O.BMP,Valence,NE,Nose,Mouth,Nose,Mouth,Nose
HAU,24M_NE_O.BMP,Valence,NE,Eyes,Nose,NA,NA,NA
LOV,24M_NE_O.BMP,Valence,NE,Eyes,Eyes,Eyes,Nose,Eyes
NIS,24M_NE_O.BMP,Valence,NE,Nose,NA,NA,NA,NA
PRA,24M_NE_O.BMP,Valence,NE,Nose,Nose,Outside,Outside,Eyes
PRT,24M_NE_O.BMP,Valence,NE,Outside,NA,NA,NA,NA
VIL,24M_NE_O.BMP,Valence,NE,Eyes,NA,NA,NA,NA
AYA,33M_AN_C.BMP,Valence,AN,Outside,NA,NA,NA,NA
CHN,33M_AN_C.BMP,Valence,AN,Outside,Eyes,Outside,Eyes,Outside
HAH,33M_AN_C.BMP,Valence,AN,Nose,Nose,Nose,Nose,Outside
HAM,33M_AN_C.BMP,Valence,AN,Nose,Eyes,Eyes,Eyes,Eyes
HMN,33M_AN_C.BMP,Valence,AN,Outside,Eyes,Nose,NA,NA
JAY,33M_AN_C.BMP,Valence,AN,Eyes,NA,NA,NA,NA
KUL,33M_AN_C.BMP,Valence,AN,Nose,Outside,Nose,Mouth,Mouth
LOV,33M_AN_C.BMP,Valence,AN,Nose,Nose,Nose,Eyes,Nose
MAL,33M_AN_C.BMP,Valence,AN,Mouth,Nose,Nose,Eyes,Nose
NAN,33M_AN_C.BMP,Valence,AN,Outside,Eyes,Nose,Nose,Outside
NIS,33M_AN_C.BMP,Valence,AN,Eyes,NA,NA,NA,NA
PRA,33M_AN_C.BMP,Valence,AN,Outside,Outside,Outside,Outside,Outside
SHI,33M_AN_C.BMP,Valence,AN,Outside,Outside,Outside,Outside,Eyes
SYE,33M_AN_C.BMP,Valence,AN,Eyes,Eyes,Eyes,Outside,Nose
VIL,33M_AN_C.BMP,Valence,AN,Nose,NA,NA,NA,NA
